19-01-2020 13:02:30.533 [main] INFO  c.dawang.wechat.DawangwxApplication.logStarting - Starting DawangwxApplication on HANM14698.local with PID 13972 (/Users/dawang/Documents/dawangwx/target/classes started by dawang in /Users/dawang/Documents/dawangwx)
19-01-2020 13:02:30.539 [main] INFO  c.dawang.wechat.DawangwxApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
19-01-2020 13:02:31.234 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
19-01-2020 13:02:31.243 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
19-01-2020 13:02:31.243 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.29]
19-01-2020 13:02:31.305 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
19-01-2020 13:02:31.429 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
19-01-2020 13:02:31.600 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
19-01-2020 13:02:31.605 [main] INFO  c.dawang.wechat.DawangwxApplication.logStarted - Started DawangwxApplication in 1.473 seconds (JVM running for 2.199)
19-01-2020 13:03:53.569 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
19-01-2020 13:03:53.598 [http-nio-8080-exec-1] INFO  com.dawang.wechat.WxController.wxGet - 339499497387981371
19-01-2020 13:03:53.598 [http-nio-8080-exec-1] INFO  com.dawang.wechat.WxController.wxGet - f188ed8b4a91fbcc3b08f3df81135ec8cd8c1d98
19-01-2020 13:03:53.599 [http-nio-8080-exec-1] INFO  com.dawang.wechat.WxController.wxGet - 1579409960
19-01-2020 13:03:53.599 [http-nio-8080-exec-1] INFO  com.dawang.wechat.WxController.wxGet - 8355931
19-01-2020 13:03:53.599 [http-nio-8080-exec-1] INFO  com.dawang.wechat.WxController.wxGet - wx8ee3c7b701e38f2e
19-01-2020 13:03:53.600 [http-nio-8080-exec-1] INFO  com.dawang.wechat.WxController.wxGet - 接入成功，echostr 339499497387981371
